percent,reads_clade,reads_taxon,rank,taxid,name,db_name
89.52,8952,8952,U,0,unclassified,kraken2_basic
10.48,1048,42,,1,root,kraken2_basic
9.56,956,17,1,131567,cellular organisms,kraken2_basic
9.24,924,147,,2,Bacteria,kraken2_basic
3.61,361,24,D1,1783272,Terrabacteria group,kraken2_basic
1.82,182,15,P,1239,Bacillota,kraken2_basic
0.81,81,1,C,91061,Bacilli,kraken2_basic
0.57,57,4,O,1385,Bacillales,kraken2_basic
0.24,24,1,F,186817,Bacillaceae,kraken2_basic
0.14,14,2,G,1386,Bacillus,kraken2_basic
0.08,8,1,G1,86661,Bacillus cereus group,kraken2_basic
0.05,5,5,S,1396,Bacillus cereus,kraken2_basic
0.02,2,2,S,1890302,Bacillus wiedmannii,kraken2_basic
0.02,2,0,G1,185979,unclassified Bacillus (in: firmicutes),kraken2_basic
0.02,2,2,S,3035514,Bacillus sp. HSf4,kraken2_basic
0.01,1,1,S,2672567,Bacillus aquiflavi,kraken2_basic
0.01,1,0,G1,653685,Bacillus subtilis group,kraken2_basic
0.01,1,1,S,1452,Bacillus atrophaeus,kraken2_basic
0.03,3,0,G,2675229,Peribacillus,kraken2_basic
0.02,2,2,S,450367,Peribacillus frigoritolerans,kraken2_basic
0.01,1,0,G1,2675266,unclassified Peribacillus,kraken2_basic
0.01,1,1,S,2975289,Peribacillus sp. FSL E2-0159,kraken2_basic
0.01,1,0,G,2837503,Gottfriedia,kraken2_basic
0.01,1,1,S,371036,Gottfriedia acidiceleris,kraken2_basic
0.01,1,0,G,2675232,Neobacillus,kraken2_basic
0.01,1,0,G1,2675272,unclassified Neobacillus,kraken2_basic
0.01,1,1,S,3070677,Neobacillus sp. PS3-12,kraken2_basic
0.01,1,0,G,2675234,Alkalihalobacillus,kraken2_basic
0.01,1,0,G1,2675276,unclassified Alkalihalobacillus,kraken2_basic
0.01,1,1,S,2924032,Alkalihalobacillus sp. LMS39,kraken2_basic
0.01,1,0,G,400634,Lysinibacillus,kraken2_basic
0.01,1,1,S,436516,Lysinibacillus parviboronicapiens,kraken2_basic
0.01,1,0,G,2837511,Sutcliffiella,kraken2_basic
0.01,1,1,S,33932,Sutcliffiella cohnii,kraken2_basic
0.01,1,0,G,2837506,Niallia,kraken2_basic
0.01,1,1,S,1397,Niallia circulans,kraken2_basic
0.2,20,0,F,90964,Staphylococcaceae,kraken2_basic
0.17,17,2,G,1279,Staphylococcus,kraken2_basic
0.06,6,5,S,1280,Staphylococcus aureus,kraken2_basic
0.01,1,1,S1,273036,Staphylococcus aureus RF122,kraken2_basic
0.02,2,2,S,1282,Staphylococcus epidermidis,kraken2_basic
0.01,1,1,S,586733,Staphylococcus devriesei,kraken2_basic
0.01,1,1,S,46127,Staphylococcus felis,kraken2_basic
0.01,1,1,S,33028,Staphylococcus saccharolyticus,kraken2_basic
0.01,1,1,S,29388,Staphylococcus capitis,kraken2_basic
0.01,1,1,S,29382,Staphylococcus cohnii,kraken2_basic
0.01,1,0,G1,2815305,Staphylococcus intermedius group,kraken2_basic
0.01,1,1,S,283734,Staphylococcus pseudintermedius,kraken2_basic
0.01,1,1,S,1290,Staphylococcus hominis,kraken2_basic
0.02,2,0,G,2803850,Mammaliicoccus,kraken2_basic
0.02,2,2,S,1296,Mammaliicoccus sciuri,kraken2_basic
0.01,1,0,G,69965,Macrococcus,kraken2_basic
0.01,1,1,S,2875764,Macrococcus armenti,kraken2_basic
0.04,4,0,F,186822,Paenibacillaceae,kraken2_basic
0.04,4,0,G,44249,Paenibacillus,kraken2_basic
0.01,1,1,S,539262,Paenibacillus hunanensis,kraken2_basic
0.01,1,0,G1,185978,unclassified Paenibacillus,kraken2_basic
0.01,1,1,S,2921443,Paenibacillus sp. FSL H7-0940,kraken2_basic
0.01,1,1,S,1763538,Paenibacillus crassostreae,kraken2_basic
0.01,1,0,S,365617,Paenibacillus sabinae,kraken2_basic
0.01,1,1,S1,1268072,Paenibacillus sabinae T27,kraken2_basic
0.03,3,0,F,186818,Planococcaceae,kraken2_basic
0.01,1,0,G,1372,Planococcus,kraken2_basic
0.01,1,1,S,1374,Planococcus kocurii,kraken2_basic
0.01,1,0,G,1649,Kurthia,kraken2_basic
0.01,1,1,S,1650,Kurthia zopfii,kraken2_basic
0.01,1,1,G,648802,Rummeliibacillus,kraken2_basic
0.02,2,0,F,539738,Gemellaceae,kraken2_basic
0.02,2,0,G,1378,Gemella,kraken2_basic
0.02,2,1,G1,2624949,unclassified Gemella,kraken2_basic
0.01,1,1,S,2840371,Gemella sp. zg-570,kraken2_basic
0.23,23,0,O,186826,Lactobacillales,kraken2_basic
0.12,12,0,F,1300,Streptococcaceae,kraken2_basic
0.11,11,1,G,1301,Streptococcus,kraken2_basic
0.03,3,3,S,1307,Streptococcus suis,kraken2_basic
0.02,2,2,S,1335,Streptococcus equinus,kraken2_basic
0.01,1,1,S,1313,Streptococcus pneumoniae,kraken2_basic
0.01,1,1,S,1501662,Streptococcus parasuis,kraken2_basic
0.01,1,0,G1,671232,Streptococcus anginosus group,kraken2_basic
0.01,1,0,S,1328,Streptococcus anginosus,kraken2_basic
0.01,1,1,S1,862970,Streptococcus anginosus C1051,kraken2_basic
0.01,1,0,S,257758,Streptococcus pseudopneumoniae,kraken2_basic
0.01,1,1,S1,1054460,Streptococcus pseudopneumoniae IS7493,kraken2_basic
0.01,1,0,G1,119603,Streptococcus dysgalactiae group,kraken2_basic
0.01,1,0,S,1334,Streptococcus dysgalactiae,kraken2_basic
0.01,1,0,S1,119602,Streptococcus dysgalactiae subsp. equisimilis,kraken2_basic
0.01,1,1,S2,759913,Streptococcus dysgalactiae subsp. equisimilis AC-2713,kraken2_basic
0.01,1,0,G,1357,Lactococcus,kraken2_basic
0.01,1,1,S,2419773,Lactococcus allomyrinae,kraken2_basic
0.05,5,0,F,33958,Lactobacillaceae,kraken2_basic
0.01,1,0,G,1578,Lactobacillus,kraken2_basic
0.01,1,1,S,1218494,Lactobacillus helsingborgensis,kraken2_basic
0.01,1,0,G,2978367,Nicoliella,kraken2_basic
0.01,1,1,S,2925830,Nicoliella spurrieriana,kraken2_basic
0.01,1,1,G,2759736,Lacticaseibacillus,kraken2_basic
0.01,1,0,G,2767842,Lactiplantibacillus,kraken2_basic
0.01,1,1,S,1590,Lactiplantibacillus plantarum,kraken2_basic
0.01,1,0,G,2767877,Apilactobacillus,kraken2_basic
0.01,1,1,S,2419772,Apilactobacillus bombintestini,kraken2_basic
0.04,4,0,F,81852,Enterococcaceae,kraken2_basic
0.02,2,0,G,1350,Enterococcus,kraken2_basic
0.02,2,2,S,1352,Enterococcus faecium,kraken2_basic
0.02,2,0,G,2737,Vagococcus,kraken2_basic
0.02,2,0,G1,2648499,unclassified Vagococcus,kraken2_basic
0.02,2,2,S,3109030,Vagococcus sp. B2T-5,kraken2_basic
0.01,1,0,F,186827,Aerococcaceae,kraken2_basic
0.01,1,0,G,66831,Facklamia,kraken2_basic
0.01,1,1,S,178214,Facklamia hominis,kraken2_basic
0.01,1,0,F,186828,Carnobacteriaceae,kraken2_basic
0.01,1,0,G,2747,Carnobacterium,kraken2_basic
0.01,1,1,S,2751,Carnobacterium maltaromaticum,kraken2_basic
0.7,70,1,C,186801,Clostridia,kraken2_basic
0.51,51,0,O,186802,Eubacteriales,kraken2_basic
0.46,46,1,F,31979,Clostridiaceae,kraken2_basic
0.42,42,4,G,1485,Clostridium,kraken2_basic
0.07,7,7,S,1491,Clostridium botulinum,kraken2_basic
0.07,7,0,G1,2614128,unclassified Clostridium,kraken2_basic
0.02,2,2,S,2483110,Clostridium sp. JN-1,kraken2_basic
0.01,1,1,S,3070996,Clostridium sp. MB40-C1,kraken2_basic
0.01,1,1,S,3064705,Clostridium sp. JS66,kraken2_basic
0.01,1,1,S,1970093,Clostridium sp. 001,kraken2_basic
0.01,1,1,S,2507159,Clostridium sp. JN-9,kraken2_basic
0.01,1,1,S,97138,Clostridium sp. MD294,kraken2_basic
0.07,7,7,S,238834,Clostridium estertheticum,kraken2_basic
0.04,4,3,S,1502,Clostridium perfringens,kraken2_basic
0.01,1,1,S1,107819,Clostridium perfringens D,kraken2_basic
0.02,2,2,S,2068654,Clostridium fermenticellae,kraken2_basic
0.01,1,0,S,217159,Clostridium carboxidivorans,kraken2_basic
0.01,1,1,S1,536227,Clostridium carboxidivorans P7,kraken2_basic
0.01,1,1,S,1492,Clostridium butyricum,kraken2_basic
0.01,1,1,S,1561,Clostridium baratii,kraken2_basic
0.01,1,1,S,36745,Clostridium saccharoperbutylacetonicum,kraken2_basic
0.01,1,0,S,1542,Clostridium novyi,kraken2_basic
0.01,1,1,S1,386415,Clostridium novyi NT,kraken2_basic
0.01,1,1,S,1534,Clostridium kluyveri,kraken2_basic
0.01,1,0,S,1493,Clostridium cellulovorans,kraken2_basic
0.01,1,1,S1,573061,Clostridium cellulovorans 743B,kraken2_basic
0.01,1,1,S,1520,Clostridium beijerinckii,kraken2_basic
0.01,1,1,S,1513,Clostridium tetani,kraken2_basic
0.01,1,1,S,169679,Clostridium saccharobutylicum,kraken2_basic
0.01,1,1,S,2320868,Clostridium manihotivorum,kraken2_basic
0.02,2,0,G,1266,Sarcina,kraken2_basic
0.02,2,0,G1,2619470,unclassified Sarcina,kraken2_basic
0.02,2,2,S,2726954,Sarcina sp. JB2,kraken2_basic
0.01,1,0,G,49082,Candidatus Arthromitus,kraken2_basic
0.01,1,0,G1,2638829,unclassified Candidatus Arthromitus,kraken2_basic
0.01,1,0,S,49118,Candidatus Arthromitus sp. SFB-mouse,kraken2_basic
0.01,1,1,S1,1029718,Candidatus Arthromitus sp. SFB-mouse-Japan,kraken2_basic
0.03,3,0,F,216572,Oscillospiraceae,kraken2_basic
0.03,3,0,G,35829,Acetivibrio,kraken2_basic
0.02,2,0,S,1515,Acetivibrio thermocellus,kraken2_basic
0.01,1,1,S1,203119,Acetivibrio thermocellus ATCC 27405,kraken2_basic
0.01,1,1,S1,572545,Acetivibrio thermocellus DSM 2360,kraken2_basic
0.01,1,1,S,1677857,Acetivibrio saccincola,kraken2_basic
0.01,1,1,F,3082771,Acutalibacteraceae,kraken2_basic
0.01,1,0,F,186806,Eubacteriaceae,kraken2_basic
0.01,1,0,G,1730,Eubacterium,kraken2_basic
0.01,1,1,S,2041044,Eubacterium maltosivorans,kraken2_basic
0.09,9,1,O,3082720,Peptostreptococcales,kraken2_basic
0.07,7,0,F,186804,Peptostreptococcaceae,kraken2_basic
0.02,2,0,G,1505652,Terrisporobacter,kraken2_basic
0.02,2,2,S,2813371,Terrisporobacter hibernicus,kraken2_basic
0.02,2,0,G,1870884,Clostridioides,kraken2_basic
0.02,2,2,S,1496,Clostridioides difficile,kraken2_basic
0.01,1,0,G,1257,Peptostreptococcus,kraken2_basic
0.01,1,1,S,3003601,Peptostreptococcus equinus,kraken2_basic
0.01,1,0,G,1505657,Intestinibacter,kraken2_basic
0.01,1,1,S,261299,Intestinibacter bartlettii,kraken2_basic
0.01,1,0,G,1849822,Paraclostridium,kraken2_basic
0.01,1,1,S,1505,Paraclostridium sordellii,kraken2_basic
0.01,1,0,F,3118654,Caminicellaceae,kraken2_basic
0.01,1,0,G,166484,Caminicella,kraken2_basic
0.01,1,1,S,166485,Caminicella sporogenes,kraken2_basic
0.06,6,0,O,3085636,Lachnospirales,kraken2_basic
0.06,6,0,F,186803,Lachnospiraceae,kraken2_basic
0.01,1,0,G,33042,Coprococcus,kraken2_basic
0.01,1,1,S,410072,Coprococcus comes,kraken2_basic
0.01,1,0,G,2719313,Enterocloster,kraken2_basic
0.01,1,1,S,208479,Enterocloster bolteae,kraken2_basic
