percent,reads_clade,reads_taxon,rank,taxid,name,db_name
85.29,8529,8529,U,0,unclassified,pluspf
14.71,1471,17,,1,root,pluspf
14.01,1401,41,1,131567,cellular organisms,pluspf
8.73,873,6,2,2759,Eukaryota,pluspf
8.22,822,4,R3,33154,Opisthokonta,pluspf
7.84,784,0,K,33208,Metazoa,pluspf
7.84,784,0,K1,6072,Eumetazoa,pluspf
7.84,784,0,K2,33213,Bilateria,pluspf
7.84,784,0,K3,33511,Deuterostomia,pluspf
7.84,784,0,P,7711,Chordata,pluspf
7.84,784,0,P1,89593,Craniata,pluspf
7.84,784,0,P2,7742,Vertebrata,pluspf
7.84,784,0,P3,7776,Gnathostomata,pluspf
7.84,784,0,P4,117570,Teleostomi,pluspf
7.84,784,0,P5,117571,Euteleostomi,pluspf
7.84,784,0,P6,8287,Sarcopterygii,pluspf
7.84,784,0,P7,1338369,Dipnotetrapodomorpha,pluspf
7.84,784,0,P8,32523,Tetrapoda,pluspf
7.84,784,0,P9,32524,Amniota,pluspf
7.84,784,0,C,40674,Mammalia,pluspf
7.84,784,0,C1,32525,Theria,pluspf
7.84,784,0,C2,9347,Eutheria,pluspf
7.84,784,0,C3,1437010,Boreoeutheria,pluspf
7.84,784,0,C4,314146,Euarchontoglires,pluspf
7.84,784,0,O,9443,Primates,pluspf
7.84,784,0,O1,376913,Haplorrhini,pluspf
7.84,784,0,O2,314293,Simiiformes,pluspf
7.84,784,0,O3,9526,Catarrhini,pluspf
7.84,784,0,O4,314295,Hominoidea,pluspf
7.84,784,0,F,9604,Hominidae,pluspf
7.84,784,0,F1,207598,Homininae,pluspf
7.84,784,0,G,9605,Homo,pluspf
7.84,784,784,S,9606,Homo sapiens,pluspf
0.34,34,1,K,4751,Fungi,pluspf
0.28,28,2,K1,451864,Dikarya,pluspf
0.17,17,0,P,4890,Ascomycota,pluspf
0.15,15,1,P1,716545,saccharomyceta,pluspf
0.1,10,0,P2,147538,Pezizomycotina,pluspf
0.1,10,0,P3,716546,leotiomyceta,pluspf
0.05,5,0,P4,715989,sordariomyceta,pluspf
0.05,5,0,C,147550,Sordariomycetes,pluspf
0.03,3,0,C1,222543,Hypocreomycetidae,pluspf
0.03,3,0,O,5125,Hypocreales,pluspf
0.02,2,0,F,110618,Nectriaceae,pluspf
0.02,2,0,G,5506,Fusarium,pluspf
0.01,1,0,G1,171631,Fusarium oxysporum species complex,pluspf
0.01,1,0,S,5507,Fusarium oxysporum,pluspf
0.01,1,0,S1,59765,Fusarium oxysporum f. sp. lycopersici,pluspf
0.01,1,1,S2,426428,Fusarium oxysporum f. sp. lycopersici 4287,pluspf
0.01,1,0,G1,569360,Fusarium sambucinum species complex,pluspf
0.01,1,0,S,5518,Fusarium graminearum,pluspf
0.01,1,1,S1,229533,Fusarium graminearum PH-1,pluspf
0.01,1,0,F,5129,Hypocreaceae,pluspf
0.01,1,0,G,5543,Trichoderma,pluspf
0.01,1,1,S,101201,Trichoderma asperellum,pluspf
0.02,2,0,C1,222544,Sordariomycetidae,pluspf
0.02,2,0,O,639021,Magnaporthales,pluspf
0.02,2,0,F,2528436,Pyriculariaceae,pluspf
0.02,2,0,G,48558,Pyricularia,pluspf
0.01,1,0,S,318829,Pyricularia oryzae,pluspf
0.01,1,1,S1,242507,Pyricularia oryzae 70-15,pluspf
0.01,1,1,S,1578925,Pyricularia pennisetigena,pluspf
0.03,3,0,C,147545,Eurotiomycetes,pluspf
0.03,3,0,C1,451871,Eurotiomycetidae,pluspf
0.03,3,0,O,5042,Eurotiales,pluspf
0.02,2,0,F,1131492,Aspergillaceae,pluspf
0.02,2,0,G,5052,Aspergillus,pluspf
0.01,1,0,G1,2720870,Aspergillus subgen. Nidulantes,pluspf
0.01,1,0,S,162425,Aspergillus nidulans,pluspf
0.01,1,1,S1,227321,Aspergillus nidulans FGSC A4,pluspf
0.01,1,1,G1,2720871,Aspergillus subgen. Circumdati,pluspf
0.01,1,0,F,28568,Trichocomaceae,pluspf
0.01,1,0,G,5094,Talaromyces,pluspf
0.01,1,0,G1,2752537,Talaromyces sect. Talaromyces,pluspf
0.01,1,1,S,37727,Talaromyces marneffei,pluspf
0.02,2,0,P4,715962,dothideomyceta,pluspf
0.02,2,1,C,147541,Dothideomycetes,pluspf
0.01,1,0,C1,451868,Pleosporomycetidae,pluspf
0.01,1,0,O,92860,Pleosporales,pluspf
0.01,1,0,O1,715340,Pleosporineae,pluspf
0.01,1,1,F,28556,Pleosporaceae,pluspf
0.04,4,0,P2,147537,Saccharomycotina,pluspf
0.02,2,0,C,4891,Saccharomycetes,pluspf
0.02,2,0,O,4892,Saccharomycetales,pluspf
0.02,2,0,F,4893,Saccharomycetaceae,pluspf
0.01,1,0,G,113604,Tetrapisispora,pluspf
0.01,1,0,S,113608,Tetrapisispora phaffii,pluspf
0.01,1,1,S1,1071381,Tetrapisispora phaffii CBS 4417,pluspf
0.01,1,0,G,278028,Naumovozyma,pluspf
0.01,1,1,S,27288,Naumovozyma castellii,pluspf
0.02,2,0,C,3239874,Pichiomycetes,pluspf
0.02,2,0,O,2916678,Serinales,pluspf
0.02,2,0,F,766764,Debaryomycetaceae,pluspf
0.02,2,0,F1,1535325,Candida/Lodderomyces clade,pluspf
0.01,1,0,G,5475,Candida,pluspf
0.01,1,0,S,42374,Candida dubliniensis,pluspf
0.01,1,1,S1,573826,Candida dubliniensis CD36,pluspf
0.01,1,0,G,36913,Lodderomyces,pluspf
0.01,1,1,S,36914,Lodderomyces elongisporus,pluspf
0.02,2,0,P1,451866,Taphrinomycotina,pluspf
0.02,2,0,C,147554,Schizosaccharomycetes,pluspf
0.02,2,0,O,34346,Schizosaccharomycetales,pluspf
0.02,2,0,F,4894,Schizosaccharomycetaceae,pluspf
0.02,2,0,G,4895,Schizosaccharomyces,pluspf
0.02,2,2,S,4896,Schizosaccharomyces pombe,pluspf
0.09,9,2,P,5204,Basidiomycota,pluspf
0.03,3,0,P1,452284,Ustilaginomycotina,pluspf
0.03,3,0,C,1538075,Malasseziomycetes,pluspf
0.03,3,0,O,162474,Malasseziales,pluspf
0.03,3,0,F,742845,Malasseziaceae,pluspf
0.03,3,2,G,55193,Malassezia,pluspf
0.01,1,1,S,76775,Malassezia restricta,pluspf
0.02,2,0,P1,5302,Agaricomycotina,pluspf
0.02,2,0,C,155616,Tremellomycetes,pluspf
0.02,2,0,O,5234,Tremellales,pluspf
0.02,2,0,F,1884633,Cryptococcaceae,pluspf
0.02,2,2,G,490731,Kwoniella,pluspf
0.02,2,0,P1,29000,Pucciniomycotina,pluspf
0.02,2,0,C,162484,Pucciniomycetes,pluspf
0.02,2,0,O,5258,Pucciniales,pluspf
0.02,2,0,F,5262,Pucciniaceae,pluspf
0.02,2,0,G,5296,Puccinia,pluspf
0.02,2,0,S,27350,Puccinia striiformis,pluspf
0.02,2,2,S1,168172,Puccinia striiformis f. sp. tritici,pluspf
0.05,5,0,K1,112252,Fungi incertae sedis,pluspf
0.05,5,0,P,1913637,Mucoromycota,pluspf
0.05,5,0,P1,214504,Glomeromycotina,pluspf
0.05,5,0,C,214506,Glomeromycetes,pluspf
0.05,5,0,O,36750,Glomerales,pluspf
0.05,5,0,F,36751,Glomeraceae,pluspf
0.05,5,0,G,1129544,Rhizophagus,pluspf
0.05,5,5,S,588596,Rhizophagus irregularis,pluspf
0.38,38,1,R3,2698737,Sar,pluspf
0.32,32,0,R4,33630,Alveolata,pluspf
0.32,32,1,P,5794,Apicomplexa,pluspf
0.22,22,0,C,422676,Aconoidasida,pluspf
0.15,15,0,O,5819,Haemosporida,pluspf
0.15,15,0,F,1639119,Plasmodiidae,pluspf
0.15,15,0,G,5820,Plasmodium,pluspf
0.05,5,3,G1,418103,Plasmodium (Plasmodium),pluspf
0.02,2,2,S,5855,Plasmodium vivax,pluspf
0.04,4,0,G1,418104,Plasmodium (Haemamoeba),pluspf
0.04,4,4,S,85471,Plasmodium relictum,pluspf
0.04,4,2,G1,418107,Plasmodium (Laverania),pluspf
0.01,1,0,S,5833,Plasmodium falciparum,pluspf
0.01,1,1,S1,36329,Plasmodium falciparum 3D7,pluspf
0.01,1,1,S,647221,Plasmodium gaboni,pluspf
0.02,2,1,G1,418101,Plasmodium (Vinckeia),pluspf
0.01,1,1,S,5861,Plasmodium yoelii,pluspf
0.07,7,1,O,5863,Piroplasmida,pluspf
0.04,4,0,F,32594,Babesiidae,pluspf
0.04,4,1,G,5864,Babesia,pluspf
0.02,2,2,S,323732,Babesia duncani,pluspf
0.01,1,0,S,5868,Babesia microti,pluspf
0.01,1,1,S1,1133968,Babesia microti strain RI,pluspf
0.02,2,0,F,27994,Theileriidae,pluspf
0.02,2,0,G,5873,Theileria,pluspf
0.01,1,1,S,5874,Theileria annulata,pluspf
0.01,1,0,S,68886,Theileria orientalis,pluspf
0.01,1,1,S1,869250,Theileria orientalis strain Shintoku,pluspf
0.09,9,0,C,1280412,Conoidasida,pluspf
0.09,9,0,C1,5796,Coccidia,pluspf
0.09,9,0,O,75739,Eucoccidiorida,pluspf
0.09,9,0,O1,423054,Eimeriorina,pluspf
0.09,9,1,F,5809,Sarcocystidae,pluspf
0.08,8,0,G,5810,Toxoplasma,pluspf
0.08,8,0,S,5811,Toxoplasma gondii,pluspf
0.08,8,8,S1,508771,Toxoplasma gondii ME49,pluspf
0.04,4,1,R4,33634,Stramenopiles,pluspf
0.02,2,0,R5,2696291,Ochrophyta,pluspf
0.02,2,0,P,2836,Bacillariophyta,pluspf
0.02,2,0,C,33849,Bacillariophyceae,pluspf
0.02,2,0,C1,33850,Bacillariophycidae,pluspf
0.02,2,0,O,38748,Naviculales,pluspf
0.02,2,0,F,38749,Phaeodactylaceae,pluspf
0.02,2,0,G,2849,Phaeodactylum,pluspf
