percent,reads_clade,reads_taxon,rank,taxid,name,db_name
40.55,4055,4055,U,0,unclassified,prackendb
59.45,5945,16,,1,root,prackendb
59.12,5912,205,1,131567,cellular organisms,prackendb
54.95,5495,328,,2759,Eukaryota,prackendb
46.11,4611,36,D1,33154,Opisthokonta,prackendb
45.43,4543,2,K,33208,Metazoa,prackendb
45.39,4539,9,K1,6072,Eumetazoa,prackendb
45.25,4525,432,K2,33213,Bilateria,prackendb
31.95,3195,134,K3,33317,Protostomia,prackendb
28.57,2857,12,K4,1206794,Ecdysozoa,prackendb
28.27,2827,0,K5,88770,Panarthropoda,prackendb
28.26,2826,11,P,6656,Arthropoda,prackendb
27.9,2790,0,P1,197563,Mandibulata,prackendb
27.88,2788,33,P2,197562,Pancrustacea,prackendb
27.12,2712,2,P3,6960,Hexapoda,prackendb
27.05,2705,0,C,50557,Insecta,prackendb
27.05,2705,0,C1,85512,Dicondylia,prackendb
27.05,2705,1,C2,7496,Pterygota,prackendb
27.03,2703,72,C3,33340,Neoptera,prackendb
25.19,2519,209,C4,33392,Endopterygota,prackendb
19.45,1945,15,C5,85604,Amphiesmenoptera,prackendb
18.95,1895,1,O,7088,Lepidoptera,prackendb
18.9,1890,0,O1,41191,Glossata,prackendb
18.9,1890,0,O2,41196,Neolepidoptera,prackendb
18.9,1890,0,O3,41197,Heteroneura,prackendb
18.86,1886,87,O4,37567,Ditrysia,prackendb
15.92,1592,204,O5,104431,Obtectomera,prackendb
7.43,743,19,O6,37570,Noctuoidea,prackendb
5.48,548,23,F,7100,Noctuidae,prackendb
2.19,219,2,F1,95186,Plusiinae,prackendb
1.89,189,0,G,254717,Chrysodeixis,prackendb
1.89,189,189,S,689277,Chrysodeixis includens,prackendb
0.15,15,0,G,254364,Abrostola,prackendb
0.08,8,8,S,938171,Abrostola tripartita,prackendb
0.07,7,7,S,254365,Abrostola triplasia,prackendb
0.09,9,0,G,254361,Autographa,prackendb
0.06,6,6,S,987893,Autographa pulchrina,prackendb
0.03,3,3,S,254363,Autographa gamma,prackendb
0.03,3,0,G,179673,Diachrysia,prackendb
0.03,3,3,S,179674,Diachrysia chrysitis,prackendb
0.01,1,0,G,7110,Trichoplusia,prackendb
0.01,1,1,S,7111,Trichoplusia ni,prackendb
0.77,77,1,F1,95244,Hadeninae,prackendb
0.24,24,3,G,103830,Mythimna,prackendb
0.12,12,12,S,997540,Mythimna ferrago,prackendb
0.05,5,5,S,987985,Mythimna impura,prackendb
0.04,4,4,S,987983,Mythimna albipuncta,prackendb
0.15,15,0,G,320087,Euplexia,prackendb
0.15,15,15,S,987933,Euplexia lucipara,prackendb
0.09,9,0,G,988059,Anorthoa,prackendb
0.09,9,9,S,988060,Anorthoa munda,prackendb
0.09,9,0,G,988123,Hecatera,prackendb
0.09,9,9,S,988125,Hecatera dysodea,prackendb
0.07,7,0,G,320089,Phlogophora,prackendb
0.07,7,7,S,875884,Phlogophora meticulosa,prackendb
0.06,6,0,G,55056,Mamestra,prackendb
0.06,6,6,S,55057,Mamestra brassicae,prackendb
0.06,6,0,G,946290,Tholera,prackendb
0.06,6,6,S,988041,Tholera decimalis,prackendb
0.69,69,1,F1,95179,Noctuinae,prackendb
0.39,39,3,F2,2555566,Noctuini,prackendb
0.15,15,0,G,320016,Xestia,prackendb
0.06,6,6,S,988049,Xestia xanthographa,prackendb
0.05,5,5,S,987431,Xestia c-nigrum,prackendb
0.04,4,4,S,997545,Xestia sexstrigata,prackendb
0.08,8,1,G,214276,Noctua,prackendb
0.03,3,3,S,753202,Noctua fimbriata,prackendb
0.02,2,2,S,214277,Noctua pronuba,prackendb
0.02,2,2,S,987995,Noctua janthe,prackendb
0.05,5,0,G,47766,Agrotis,prackendb
0.05,5,5,S,1857961,Agrotis puta,prackendb
0.05,5,0,G,214282,Ochropleura,prackendb
0.05,5,5,S,320037,Ochropleura plecta,prackendb
0.03,3,0,G,320033,Diarsia,prackendb
0.03,3,3,S,987925,Diarsia rubi,prackendb
0.2,20,2,F2,2555556,Apameini,prackendb
0.07,7,0,G,95189,Apamea,prackendb
0.05,5,5,S,875885,Apamea monoglypha,prackendb
0.02,2,2,S,689061,Apamea sordens,prackendb
0.04,4,0,G,688395,Amphipoea,prackendb
0.04,4,4,S,987876,Amphipoea oculea,prackendb
0.04,4,0,G,882791,Luperina,prackendb
0.04,4,4,S,988174,Luperina testacea,prackendb
0.03,3,0,G,214170,Hydraecia,prackendb
0.03,3,3,S,214171,Hydraecia micacea,prackendb
0.09,9,0,G,320076,Caradrina,prackendb
0.09,9,9,S,987895,Caradrina clavipalpis,prackendb
0.59,59,1,F1,572922,Xyleninae,prackendb
0.11,11,0,G,689302,Agrochola,prackendb
0.06,6,6,S,987866,Agrochola circellaris,prackendb
0.05,5,5,S,987872,Agrochola macilenta,prackendb
0.09,9,0,G,988105,Dryobotodes,prackendb
0.09,9,9,S,988106,Dryobotodes eremita,prackendb
0.09,9,0,G,2492374,Omphaloscelis,prackendb
0.09,9,9,S,2492375,Omphaloscelis lunosa,prackendb
0.08,8,0,G,988070,Atethmia,prackendb
0.08,8,8,S,988071,Atethmia centrago,prackendb
0.07,7,0,G,997550,Mesoligia,prackendb
0.07,7,7,S,997551,Mesoligia furuncula,prackendb
0.06,6,0,G,988080,Brachylomia,prackendb
0.06,6,6,S,988081,Brachylomia viminalis,prackendb
0.05,5,0,G,988063,Aporophyla,prackendb
0.05,5,5,S,1337163,Aporophyla lueneburgensis,prackendb
0.03,3,0,G,1101105,Griposia,prackendb
0.03,3,3,S,1101106,Griposia aprilina,prackendb
0.43,43,0,F1,95182,Amphipyrinae,prackendb
0.18,18,0,G,56365,Amphipyra,prackendb
0.1,10,10,S,987877,Amphipyra berbera,prackendb
0.08,8,8,S,689058,Amphipyra tragopoginis,prackendb
0.16,16,1,G,7106,Spodoptera,prackendb
0.09,9,9,S,7109,Spodoptera littoralis,prackendb
0.06,6,6,S,7107,Spodoptera exigua,prackendb
0.08,8,0,G,1430964,Xylocampa,prackendb
0.08,8,8,S,1870430,Xylocampa areola,prackendb
0.01,1,0,G,988055,Allophyes,prackendb
0.01,1,1,S,988056,Allophyes oxyacanthae,prackendb
0.23,23,0,F1,116124,Ipimorphinae,prackendb
0.15,15,0,G,116125,Cosmia,prackendb
0.08,8,8,S,987909,Cosmia pyralina,prackendb
0.07,7,7,S,116126,Cosmia trapezina,prackendb
0.08,8,0,G,116129,Eupsilia,prackendb
0.08,8,8,S,116130,Eupsilia transversa,prackendb
0.15,15,0,F1,95175,Acronictinae,prackendb
0.08,8,0,G,938225,Craniophora,prackendb
0.08,8,8,S,938226,Craniophora ligustri,prackendb
0.07,7,0,G,56362,Acronicta,prackendb
0.04,4,4,S,987865,Acronicta psi,prackendb
0.03,3,3,S,987859,Acronicta aceris,prackendb
0.08,8,0,F1,95214,Acontiinae,prackendb
0.08,8,0,G,753440,Trisateles,prackendb
0.08,8,8,S,753441,Trisateles emortualis,prackendb
0.07,7,0,F1,95178,Heliothinae,prackendb
0.07,7,1,G,7112,Helicoverpa,prackendb
0.06,6,6,S,7113,Helicoverpa zea,prackendb
0.05,5,0,F1,1430885,Eustrotiinae,prackendb
0.05,5,0,G,708062,Protodeltote,prackendb
0.05,5,5,S,708063,Protodeltote pygarga,prackendb
1.23,123,1,F,695564,Erebidae,prackendb
0.53,53,1,F1,30225,Arctiinae,prackendb
0.28,28,0,F2,1945703,Spilosomini,prackendb
0.13,13,0,G,695183,Spilarctia,prackendb
0.13,13,13,S,875881,Spilarctia lutea,prackendb
0.08,8,0,G,214365,Spilosoma,prackendb
0.08,8,8,S,875880,Spilosoma lubricipeda,prackendb
0.07,7,0,G,214310,Phragmatobia,prackendb
0.07,7,7,S,214311,Phragmatobia fuliginosa,prackendb
0.24,24,0,F2,132199,Lithosiini,prackendb
0.13,13,1,G,464722,Eilema,prackendb
0.07,7,7,S,987424,Eilema sororculum,prackendb
0.05,5,5,S,987419,Eilema depressum,prackendb
0.08,8,0,G,694657,Miltochrista,prackendb
0.08,8,8,S,987980,Miltochrista miniata,prackendb
0.03,3,0,G,694848,Cybosia,prackendb
0.03,3,3,S,987918,Cybosia mesomella,prackendb
0.3,30,3,F1,1583079,Erebinae,prackendb
0.15,15,0,G,292570,Euclidia,prackendb
0.15,15,15,S,938167,Euclidia mi,prackendb
0.1,10,0,G,56375,Catocala,prackendb
0.1,10,10,S,423510,Catocala fraxini,prackendb
0.02,2,0,G,938237,Laspeyria,prackendb
0.02,2,2,S,938238,Laspeyria flexula,prackendb
0.18,18,0,F1,27548,Lymantriinae,prackendb
0.09,9,0,G,13122,Lymantria,prackendb
0.09,9,9,S,78897,Lymantria monacha,prackendb
0.05,5,0,G,319798,Euproctis,prackendb
0.05,5,5,S,987935,Euproctis similis,prackendb
0.04,4,0,G,33413,Orgyia,prackendb
0.04,4,4,S,335469,Orgyia antiqua,prackendb
0.13,13,0,F1,95222,Herminiinae,prackendb
0.13,13,0,G,705937,Herminia,prackendb
0.13,13,13,S,987440,Herminia tarsipennalis,prackendb
0.08,8,0,F1,95217,Hypeninae,prackendb
0.05,5,0,G,95218,Hypena,prackendb
0.05,5,5,S,753189,Hypena proboscidalis,prackendb
0.03,3,0,G,411962,Schrankia,prackendb
0.03,3,3,S,411963,Schrankia costaestrigalis,prackendb
0.39,39,1,F,37571,Notodontidae,prackendb
0.12,12,0,F1,319765,Notodontinae,prackendb
0.08,8,0,G,214280,Notodonta,prackendb
0.06,6,6,S,988002,Notodonta ziczac,prackendb
0.02,2,2,S,753204,Notodonta dromedarius,prackendb
0.04,4,0,G,214308,Pheosia,prackendb
0.04,4,4,S,988018,Pheosia gnoma,prackendb
0.1,10,0,F1,319773,Phalerinae,prackendb
0.1,10,0,G,13633,Phalera,prackendb
0.1,10,10,S,753216,Phalera bucephala,prackendb
0.09,9,0,F1,319770,Ptilodontinae,prackendb
0.09,9,0,G,987448,Ptilodon,prackendb
0.09,9,9,S,987449,Ptilodon capucinus,prackendb
0.04,4,0,F1,319766,Stauropinae,prackendb
0.04,4,0,G,56587,Furcula,prackendb
0.04,4,4,S,987943,Furcula furcula,prackendb
0.03,3,0,F1,319762,Pygaerinae,prackendb
0.03,3,0,G,214089,Clostera,prackendb
0.03,3,3,S,987902,Clostera curtula,prackendb
0.14,14,0,F,319783,Nolidae,prackendb
0.09,9,0,F1,753688,Chloephorinae,prackendb
0.09,9,0,G,572722,Nycteola,prackendb
0.09,9,9,S,988004,Nycteola revayana,prackendb
0.05,5,0,F1,95245,Nolinae,prackendb
0.05,5,0,G,56393,Meganola,prackendb
0.05,5,5,S,987977,Meganola albula,prackendb
2.62,262,8,O6,37572,Papilionoidea,prackendb
1.65,165,3,F,33415,Nymphalidae,prackendb
0.68,68,0,F1,40040,Nymphalinae,prackendb
0.42,42,0,F2,171576,Nymphalini,prackendb
0.29,29,1,G,76218,Nymphalis,prackendb
0.21,21,1,G1,111880,Aglais,prackendb
0.11,11,11,S,111881,Nymphalis urticae,prackendb
0.09,9,9,S,171585,Nymphalis io,prackendb
0.07,7,0,G1,442324,Nymphalis,prackendb
0.07,7,7,S,171594,Nymphalis polychloros,prackendb
0.13,13,1,G,42274,Vanessa,prackendb
0.07,7,7,S,42275,Vanessa atalanta,prackendb
0.05,5,5,S,171605,Vanessa cardui,prackendb
0.26,26,0,F2,171578,Melitaeini,prackendb
0.26,26,1,F3,171580,Melitaeina,prackendb
0.13,13,0,G,104514,Melitaea,prackendb
0.13,13,13,S,113334,Melitaea cinxia,prackendb
0.12,12,0,G,596672,Mellicta,prackendb
0.12,12,12,S,113330,Mellicta athalia,prackendb
0.44,44,0,F1,42282,Satyrinae,prackendb
0.35,35,0,F2,127320,Satyrini,prackendb
0.12,12,0,F3,150883,Maniolina,prackendb
0.12,12,0,G,111919,Maniola,prackendb
0.1,10,0,G1,111950,jurtina species complex,prackendb
0.1,10,10,S,191418,Maniola jurtina,prackendb
0.02,2,0,G1,111885,Aphantopus,prackendb
